iso3|currency
AND|Euro
ARE|Dirham
AFG|Afghani
ATG|Dollar
AIA|Dollar
ALB|Lek
ARM|Dram
AGO|Kwanza
ATA|
ARG|Peso
ASM|Dollar
AUT|Euro
AUS|Dollar
ABW|Guilder
ALA|Euro
AZE|Manat
BIH|Marka
BRB|Dollar
BGD|Taka
BEL|Euro
BFA|Franc
BGR|Lev
BHR|Dinar
BDI|Franc
BEN|Franc
BLM|Euro
BMU|Dollar
BRN|Dollar
BOL|Boliviano
BES|Dollar
BRA|Real
BHS|Dollar
BTN|Ngultrum
BVT|Krone
BWA|Pula
BLR|Belarusian ruble
BLZ|Dollar
CAN|Dollar
CCK|Dollar
COD|Franc
CAF|Franc
COG|Franc
CHE|Franc
CIV|Franc
COK|Dollar
CHL|Peso
CMR|Franc
CHN|Yuan Renminbi
COL|Peso
CRI|Colon
CUB|Peso
CPV|Escudo
CUW|Guilder
CXR|Dollar
CYP|Euro
CZE|Koruna
DEU|Euro
DJI|Franc
DNK|Krone
DMA|Dollar
DOM|Peso
DZA|Dinar
ECU|Dollar
EST|Euro
EGY|Pound
ESH|Dirham
ERI|Nakfa
ESP|Euro
ETH|Birr
FIN|Euro
FJI|Dollar
FLK|Pound
FSM|Dollar
FRO|Krone
FRA|Euro
GAB|Franc
GBR|Pound
GRD|Dollar
GEO|Lari
GUF|Euro
GGY|Pound
GHA|Cedi
GIB|Pound
GRL|Krone
GMB|Dalasi
GIN|Franc
GLP|Euro
GNQ|Franc
GRC|Euro
SGS|Pound
GTM|Quetzal
GUM|Dollar
GNB|Franc
GUY|Dollar
HKG|Dollar
HMD|Dollar
HND|Lempira
HRV|Kuna
HTI|Gourde
HUN|Forint
IDN|Rupiah
IRL|Euro
ISR|Shekel
IMN|Pound
IND|Rupee
IOT|Dollar
IRQ|Dinar
IRN|Rial
ISL|Krona
ITA|Euro
JEY|Pound
JAM|Dollar
JOR|Dinar
JPN|Yen
KEN|Shilling
KGZ|Som
KHM|Riels
KIR|Dollar
COM|Franc
KNA|Dollar
PRK|Won
KOR|Won
XKX|Euro
KWT|Dinar
CYM|Dollar
KAZ|Tenge
LAO|Kip
LBN|Pound
LCA|Dollar
LIE|Franc
LKA|Rupee
LBR|Dollar
LSO|Loti
LTU|Euro
LUX|Euro
LVA|Euro
LBY|Dinar
MAR|Dirham
MCO|Euro
MDA|Leu
MNE|Euro
MAF|Euro
MDG|Ariary
MHL|Dollar
MKD|Denar
MLI|Franc
MMR|Kyat
MNG|Tugrik
MAC|Pataca
MNP|Dollar
MTQ|Euro
MRT|Ouguiya
MSR|Dollar
MLT|Euro
MUS|Rupee
MDV|Rufiyaa
MWI|Kwacha
MEX|Peso
MYS|Ringgit
MOZ|Metical
NAM|Dollar
NCL|Franc
NER|Franc
NFK|Dollar
NGA|Naira
NIC|Cordoba
NLD|Euro
NOR|Krone
NPL|Rupee
NRU|Dollar
NIU|Dollar
NZL|Dollar
OMN|Rial
PAN|Balboa
PER|Sol
PYF|Franc
PNG|Kina
PHL|Peso
PAK|Rupee
POL|Zloty
SPM|Euro
PCN|Dollar
PRI|Dollar
PSE|Shekel
PRT|Euro
PLW|Dollar
PRY|Guarani
QAT|Rial
REU|Euro
ROU|Leu
SRB|Dinar
RUS|Ruble
RWA|Franc
SAU|Rial
SLB|Dollar
SYC|Rupee
SDN|Pound
SSD|Pound
SWE|Krona
SGP|Dollar
SHN|Pound
SVN|Euro
SJM|Krone
SVK|Euro
SLE|Leone
SMR|Euro
SEN|Franc
SOM|Shilling
SUR|Dollar
STP|Dobra
SLV|Dollar
SXM|Guilder
SYR|Pound
SWZ|Lilangeni
TCA|Dollar
TCD|Franc
ATF|Euro
TGO|Franc
THA|Baht
TJK|Somoni
TKL|Dollar
TLS|Dollar
TKM|Manat
TUN|Dinar
TON|Pa'anga
TUR|Lira
TTO|Dollar
TUV|Dollar
TWN|Dollar
TZA|Shilling
UKR|Hryvnia
UGA|Shilling
UMI|Dollar
USA|Dollar
URY|Peso
UZB|Som
VAT|Euro
VCT|Dollar
VEN|Bolivar Soberano
VGB|Dollar
VIR|Dollar
VNM|Dong
VUT|Vatu
WLF|Franc
WSM|Tala
YEM|Rial
MYT|Euro
ZAF|Rand
ZMB|Kwacha
ZWE|Dollar
SCG|Dinar
ANT|Guilder
